epoch:33 acc1:0.7010690789473684,acc5:0.8934518914473685,eval_loss:1.2100670663639903
epoch:34 acc1:0.7073396381578947,acc5:0.897203947368421,eval_loss:1.1967889424413443
epoch:35 acc1:0.70703125,acc5:0.8965357730263159,eval_loss:1.1473283981904387
epoch:36 acc1:0.706517269736842,acc5:0.8978721217105263,eval_loss:1.1270499797537923
epoch:37 acc1:0.715306332236842,acc5:0.900904605263158,eval_loss:1.097581866197288
epoch:38 acc1:0.7154605263157895,acc5:0.9009560032894737,eval_loss:1.2066799476742744
epoch:39 acc1:0.7169510690789473,acc5:0.9020867598684211,eval_loss:1.1292432844638824
epoch:40 acc1:0.7201891447368421,acc5:0.9035773026315791,eval_loss:1.1049147192388773
epoch:41 acc1:0.7218852796052633,acc5:0.9035773026315789,eval_loss:1.1682599885389209
epoch:42 acc1:0.7193667763157896,acc5:0.9045024671052632,eval_loss:1.1083736196160316
epoch:43 acc1:0.7276418585526317,acc5:0.9047080592105264,eval_loss:1.131076187826693
epoch:44 acc1:0.7225020559210525,acc5:0.9047080592105262,eval_loss:1.0809523686766624
epoch:45 acc1:0.7287212171052633,acc5:0.9053762335526315,eval_loss:1.1427644463256001
epoch:46 acc1:0.7293893914473685,acc5:0.9067125822368421,eval_loss:1.158735053613782
epoch:47 acc1:0.7295949835526315,acc5:0.9064041940789473,eval_loss:1.0480570830404758
epoch:48 acc1:0.7296463815789473,acc5:0.9057360197368423,eval_loss:1.1259377850219607
epoch:49 acc1:0.7328330592105264,acc5:0.9083059210526316,eval_loss:1.1863822499290109
epoch:50 acc1:0.735814144736842,acc5:0.908048930921053,eval_loss:1.1788022322580218
epoch:51 acc1:0.7358141447368421,acc5:0.9085629111842104,eval_loss:1.0478514907881618
epoch:52 acc1:0.7343236019736842,acc5:0.9092310855263158,eval_loss:1.0798811055719852
epoch:53 acc1:0.7382298519736842,acc5:0.9079975328947368,eval_loss:1.133582298643887
epoch:54 acc1:0.7347861842105263,acc5:0.9086143092105262,eval_loss:1.117763833142817
epoch:55 acc1:0.7349917763157895,acc5:0.9064555921052632,eval_loss:1.1165604582056403
epoch:56 acc1:0.7388466282894736,acc5:0.9069695723684211,eval_loss:1.122897433117032
epoch:57 acc1:0.7372532894736842,acc5:0.9078433388157894,eval_loss:1.0693674301728606
epoch:58 acc1:0.7379214638157895,acc5:0.908408717105263,eval_loss:1.1016627438366413
epoch:59 acc1:0.7404399671052632,acc5:0.9081003289473687,eval_loss:1.078188607469201
epoch:60 acc1:0.7412623355263158,acc5:0.9089226973684211,eval_loss:1.0894294884055853
epoch:61 acc1:0.7403885690789473,acc5:0.9105160361842106,eval_loss:1.1385817490518093
epoch:62 acc1:0.7432668585526314,acc5:0.9085115131578947,eval_loss:1.0729984436184168
epoch:63 acc1:0.7424958881578949,acc5:0.9107216282894737,eval_loss:1.1103869518265128
epoch:64 acc1:0.7438322368421053,acc5:0.9109786184210527,eval_loss:1.1359779834747314
epoch:65 acc1:0.7428042763157895,acc5:0.9085115131578946,eval_loss:1.0331581765785813
epoch:66 acc1:0.7451685855263157,acc5:0.9104132401315788,eval_loss:1.1295327059924603
epoch:67 acc1:0.7425986842105263,acc5:0.9073807565789476,eval_loss:1.1083458131179214
epoch:68 acc1:0.743626644736842,acc5:0.9076377467105263,eval_loss:1.103839528746903
epoch:69 acc1:0.7450143914473683,acc5:0.9083059210526314,eval_loss:1.1643514018505812
epoch:70 acc1:0.7481496710526316,acc5:0.9102590460526316,eval_loss:1.0611578794196248
epoch:71 acc1:0.745836759868421,acc5:0.9091796875000001,eval_loss:1.0976602574810386
epoch:72 acc1:0.743935032894737,acc5:0.9100020559210527,eval_loss:1.1264405930414796
epoch:73 acc1:0.7471731085526316,acc5:0.9088712993421052,eval_loss:1.1463449457660317
epoch:74 acc1:0.744860197368421,acc5:0.9080489309210525,eval_loss:1.1070894869044423
epoch:75 acc1:0.746864720394737,acc5:0.906969572368421,eval_loss:1.191461586393416
epoch:76 acc1:0.747327302631579,acc5:0.9098992598684209,eval_loss:1.1109000938013196
epoch:77 acc1:0.74609375,acc5:0.9082545230263157,eval_loss:1.1323967883363366
epoch:78 acc1:0.7455283717105263,acc5:0.9103104440789475,eval_loss:1.0896470006555319
epoch:79 acc1:0.7456311677631579,acc5:0.9081517269736843,eval_loss:1.1081427717581391
epoch:80 acc1:0.7443462171052632,acc5:0.9072779605263157,eval_loss:1.133601033128798
epoch:81 acc1:0.7470703125,acc5:0.9070723684210527,eval_loss:1.1196325179189444
epoch:82 acc1:0.7474300986842104,acc5:0.908665707236842,eval_loss:1.1479927357286215
epoch:83 acc1:0.7498458059210527,acc5:0.9075863486842106,eval_loss:1.1485460912808776
epoch:84 acc1:0.7483552631578946,acc5:0.9068153782894737,eval_loss:1.1263738870620728
epoch:85 acc1:0.7473273026315789,acc5:0.9076377467105261,eval_loss:1.1620559776201844
epoch:86 acc1:0.7471217105263158,acc5:0.9088199013157895,eval_loss:1.1097198277711868
epoch:87 acc1:0.7476870888157895,acc5:0.9073807565789473,eval_loss:1.1647864934056997
epoch:88 acc1:0.7492290296052632,acc5:0.9075349506578947,eval_loss:1.124012092128396
epoch:89 acc1:0.7479440789473685,acc5:0.9079461348684209,eval_loss:1.106377643533051
epoch:90 acc1:0.7480468750000002,acc5:0.9073293585526315,eval_loss:1.1497365180402994
epoch:91 acc1:0.7471731085526315,acc5:0.9083573190789475,eval_loss:1.1048929076641798
epoch:92 acc1:0.7473787006578947,acc5:0.9076377467105263,eval_loss:1.1072439411655068
epoch:93 acc1:0.7483038651315789,acc5:0.9077919407894737,eval_loss:1.1147785652428865
epoch:94 acc1:0.7480468749999999,acc5:0.9080489309210527,eval_loss:1.1533995904028416
epoch:95 acc1:0.7477384868421052,acc5:0.9073807565789475,eval_loss:1.1600064523518085
epoch:96 acc1:0.7482010690789473,acc5:0.9074835526315789,eval_loss:1.1351906228810549
epoch:97 acc1:0.747584292763158,acc5:0.9079461348684211,eval_loss:1.1333023374900222
epoch:98 acc1:0.7487150493421053,acc5:0.9073293585526314,eval_loss:1.1528405388817191
epoch:99 acc1:0.749229029605263,acc5:0.9071751644736843,eval_loss:1.1527148401364684
epoch:100 acc1:0.7489720394736843,acc5:0.907689144736842,eval_loss:1.1190074002370238
