epoch:44 acc1:0.7362328506097561,acc5:0.9069169207317073,eval_loss:0.3555583879351616
epoch:45 acc1:0.7381859756097563,acc5:0.908250762195122,eval_loss:0.31764491368085146
epoch:46 acc1:0.7368997713414636,acc5:0.9082031249999999,eval_loss:0.3470945591107011
epoch:47 acc1:0.7405678353658536,acc5:0.9111089939024392,eval_loss:0.35552835930138826
epoch:48 acc1:0.7408060213414633,acc5:0.9085365853658537,eval_loss:0.30071392748504877
epoch:49 acc1:0.7431878810975608,acc5:0.908250762195122,eval_loss:0.4330400163307786
epoch:50 acc1:0.7478563262195121,acc5:0.9129668445121951,eval_loss:0.40652354061603546
epoch:51 acc1:0.7458555640243905,acc5:0.9092511432926829,eval_loss:0.4317785957828164
epoch:52 acc1:0.7474752286585366,acc5:0.9117759146341465,eval_loss:0.3670036569237709
epoch:53 acc1:0.7456173780487806,acc5:0.9092511432926829,eval_loss:0.35904508363455534
epoch:54 acc1:0.7476181402439024,acc5:0.9121093749999999,eval_loss:0.30231308843940496
epoch:55 acc1:0.7502858231707317,acc5:0.9131573932926831,eval_loss:0.3384347204118967
epoch:56 acc1:0.7494759908536586,acc5:0.9119664634146343,eval_loss:0.3327115708962083
epoch:57 acc1:0.7512862042682927,acc5:0.9129668445121952,eval_loss:0.3690433418378234
epoch:58 acc1:0.7531916920731706,acc5:0.9147294207317074,eval_loss:0.35969820246100426
epoch:59 acc1:0.7487614329268293,acc5:0.9119664634146339,eval_loss:0.46096301544457674
epoch:60 acc1:0.7529535060975608,acc5:0.9123951981707318,eval_loss:0.35103833582252264
epoch:61 acc1:0.7565739329268293,acc5:0.9154439786585366,eval_loss:0.3439065385609865
epoch:62 acc1:0.7547637195121951,acc5:0.9122999237804879,eval_loss:0.33780378568917513
epoch:63 acc1:0.7563833841463414,acc5:0.9115377286585366,eval_loss:0.39687486086040735
epoch:64 acc1:0.7564310213414636,acc5:0.9133003048780488,eval_loss:0.3947999933734536
epoch:65 acc1:0.7552400914634148,acc5:0.9127762957317072,eval_loss:0.35936799086630344
epoch:66 acc1:0.7546208079268292,acc5:0.9123951981707317,eval_loss:0.423283233307302
epoch:67 acc1:0.7599085365853658,acc5:0.9138243140243903,eval_loss:0.39254812989383936
epoch:68 acc1:0.7600514481707317,acc5:0.913157393292683,eval_loss:0.32811992336064577
epoch:69 acc1:0.7570503048780488,acc5:0.9133955792682927,eval_loss:0.329211943782866
epoch:70 acc1:0.7570026676829269,acc5:0.9128715701219513,eval_loss:0.3914548819884658
epoch:71 acc1:0.7546684451219513,acc5:0.9123475609756098,eval_loss:0.3498293664306402
epoch:72 acc1:0.7569073932926829,acc5:0.9120617378048781,eval_loss:0.33531181514263153
epoch:73 acc1:0.7581459603658536,acc5:0.9114424542682927,eval_loss:0.3933173008263111
epoch:74 acc1:0.7595750762195123,acc5:0.9113471798780488,eval_loss:0.3440823946148157
epoch:75 acc1:0.7593845274390245,acc5:0.9120141006097561,eval_loss:0.3388163773342967
epoch:76 acc1:0.7615282012195123,acc5:0.9119664634146342,eval_loss:0.38835478387773037
epoch:77 acc1:0.7590987042682927,acc5:0.9141577743902439,eval_loss:0.34016657434403896
epoch:78 acc1:0.7582888719512195,acc5:0.9108231707317075,eval_loss:0.36402444168925285
epoch:79 acc1:0.7592892530487806,acc5:0.9128715701219512,eval_loss:0.33522364031523466
epoch:80 acc1:0.7602419969512195,acc5:0.9117282774390244,eval_loss:0.3375615943223238
epoch:81 acc1:0.7604801829268293,acc5:0.9113948170731708,eval_loss:0.3926629377529025
epoch:82 acc1:0.7607660060975611,acc5:0.911966463414634,eval_loss:0.3167040776461363
epoch:83 acc1:0.7590987042682926,acc5:0.9099657012195123,eval_loss:0.36374753806740046
epoch:84 acc1:0.7615758384146343,acc5:0.9098227896341463,eval_loss:0.3794846944510937
epoch:85 acc1:0.7602896341463414,acc5:0.911347179878049,eval_loss:0.3500071531161666
epoch:86 acc1:0.7614329268292684,acc5:0.9118711890243902,eval_loss:0.36105480697005987
epoch:87 acc1:0.7616711128048782,acc5:0.9124904725609757,eval_loss:0.3384810108691454
epoch:88 acc1:0.7625285823170731,acc5:0.9106802591463417,eval_loss:0.3961162846535444
epoch:89 acc1:0.7612423780487805,acc5:0.9121093750000001,eval_loss:0.35283606313169
epoch:90 acc1:0.7612423780487804,acc5:0.910251524390244,eval_loss:0.36935639660805464
epoch:91 acc1:0.7613376524390244,acc5:0.9095846036585367,eval_loss:0.38213925436139107
epoch:92 acc1:0.7610041920731709,acc5:0.9113948170731707,eval_loss:0.35740853380411863
epoch:93 acc1:0.7617187499999999,acc5:0.9123475609756098,eval_loss:0.3439990999177098
epoch:94 acc1:0.7620998475609754,acc5:0.9102515243902438,eval_loss:0.37587503157556057
epoch:95 acc1:0.7612423780487806,acc5:0.9117282774390244,eval_loss:0.3439310397952795
epoch:96 acc1:0.7621474847560975,acc5:0.911251905487805,eval_loss:0.3754073837772012
epoch:97 acc1:0.7620522103658537,acc5:0.911156631097561,eval_loss:0.3600884107872844
epoch:98 acc1:0.7622903963414634,acc5:0.9111089939024392,eval_loss:0.3612429592758417
