epoch:64 acc1:0.7562881097560975,acc5:0.9136337652439026,eval_loss:0.3447741409763694
epoch:65 acc1:0.7561451981707319,acc5:0.9133479420731706,eval_loss:0.4182069059461355
epoch:66 acc1:0.758717606707317,acc5:0.9143483231707316,eval_loss:0.38233839347958565
epoch:67 acc1:0.7580983231707317,acc5:0.9146341463414636,eval_loss:0.3136854711920023
epoch:68 acc1:0.7584794207317072,acc5:0.9148246951219513,eval_loss:0.3351441454142332
epoch:69 acc1:0.7604325457317075,acc5:0.9153487042682927,eval_loss:0.3880985742434859
epoch:70 acc1:0.7583365091463417,acc5:0.9130621189024392,eval_loss:0.34757364355027676
epoch:71 acc1:0.7604325457317074,acc5:0.914919969512195,eval_loss:0.35862310882657766
epoch:72 acc1:0.7620522103658536,acc5:0.9146817835365855,eval_loss:0.297749231569469
epoch:73 acc1:0.7623856707317073,acc5:0.9139672256097561,eval_loss:0.36178099922835827
epoch:74 acc1:0.7630525914634146,acc5:0.9128239329268291,eval_loss:0.35033132787793875
epoch:75 acc1:0.761861661585366,acc5:0.9134432164634145,eval_loss:0.38382080756127834
epoch:76 acc1:0.7651962652439025,acc5:0.9151581554878049,eval_loss:0.3921622671186924
epoch:77 acc1:0.7644817073170733,acc5:0.9129668445121951,eval_loss:0.38164672534912825
epoch:78 acc1:0.7643864329268294,acc5:0.9149199695121952,eval_loss:0.31153061613440514
epoch:79 acc1:0.7623856707317073,acc5:0.9124904725609755,eval_loss:0.3354032654315233
epoch:80 acc1:0.7633384146341464,acc5:0.9126810213414634,eval_loss:0.34909491799771786
epoch:81 acc1:0.7653391768292684,acc5:0.9128239329268295,eval_loss:0.3676822055131197
epoch:82 acc1:0.7663395579268292,acc5:0.9132526676829269,eval_loss:0.37006988748908043
epoch:83 acc1:0.7642435213414633,acc5:0.9137290396341466,eval_loss:0.3609795207157731
epoch:84 acc1:0.7642435213414634,acc5:0.9145865091463415,eval_loss:0.3453782061114907
epoch:85 acc1:0.7659108231707319,acc5:0.9132526676829269,eval_loss:0.3604907849803567
epoch:86 acc1:0.764624618902439,acc5:0.9126810213414636,eval_loss:0.3483227305114269
epoch:87 acc1:0.7671493902439025,acc5:0.9134432164634146,eval_loss:0.3482865747064352
epoch:88 acc1:0.7672923018292682,acc5:0.9140148628048779,eval_loss:0.3704336192458868
epoch:89 acc1:0.7661013719512195,acc5:0.9129192073170732,eval_loss:0.3406206648796797
epoch:90 acc1:0.7672446646341463,acc5:0.9135861280487806,eval_loss:0.33080558851361275
epoch:91 acc1:0.7682450457317073,acc5:0.9128715701219513,eval_loss:0.37062741443514824
epoch:92 acc1:0.7674828506097562,acc5:0.9138719512195123,eval_loss:0.33090333826839924
epoch:93 acc1:0.7673399390243901,acc5:0.9137290396341464,eval_loss:0.3693278841674328
epoch:94 acc1:0.7678639481707318,acc5:0.9127762957317073,eval_loss:0.35819802340120077
epoch:95 acc1:0.7667682926829267,acc5:0.9133003048780488,eval_loss:0.3492145361378789
epoch:96 acc1:0.7679115853658536,acc5:0.9133479420731709,eval_loss:0.34559379424899817
epoch:97 acc1:0.767721036585366,acc5:0.9138243140243901,eval_loss:0.3495310014113784
epoch:98 acc1:0.7674352134146342,acc5:0.9141577743902439,eval_loss:0.3481341367587447
epoch:99 acc1:0.7670064786585366,acc5:0.9134432164634148,eval_loss:0.3436401104554534
epoch:100 acc1:0.7683879573170732,acc5:0.9137290396341462,eval_loss:0.3500373689457774
