epoch:48 acc1:0.727481617647059,acc5:0.9056755514705883,eval_loss:1.198164751753211
epoch:49 acc1:0.7240349264705882,acc5:0.9065372242647057,eval_loss:1.2027200125157833
epoch:50 acc1:0.7286879595588235,acc5:0.9087201286764707,eval_loss:1.1809968715533614
epoch:51 acc1:0.7270220588235292,acc5:0.9032054227941178,eval_loss:1.287048471160233
epoch:52 acc1:0.7328814338235294,acc5:0.9052734375,eval_loss:1.1966040432453156
epoch:53 acc1:0.7349494485294117,acc5:0.9075137867647058,eval_loss:1.240359215065837
epoch:54 acc1:0.7308134191176472,acc5:0.9087201286764707,eval_loss:1.283762512728572
epoch:55 acc1:0.7337431066176471,acc5:0.9059627757352942,eval_loss:1.179489099420607
epoch:56 acc1:0.7339154411764705,acc5:0.9050436580882354,eval_loss:1.2316287457942963
epoch:57 acc1:0.7348920036764707,acc5:0.9060776654411764,eval_loss:1.1969502596184611
epoch:58 acc1:0.7450022977941176,acc5:0.9125114889705882,eval_loss:1.211166463792324
epoch:59 acc1:0.7310431985294118,acc5:0.9058478860294117,eval_loss:1.2173039326444268
epoch:60 acc1:0.7394875919117647,acc5:0.9100988051470587,eval_loss:1.2255974989384413
epoch:61 acc1:0.7409237132352942,acc5:0.906537224264706,eval_loss:1.1766401566565037
epoch:62 acc1:0.7346622242647058,acc5:0.9055606617647058,eval_loss:1.2567465510219336
epoch:63 acc1:0.7339728860294117,acc5:0.9083180147058824,eval_loss:1.2273182440549135
epoch:64 acc1:0.7419577205882353,acc5:0.9075712316176472,eval_loss:1.1804630476981401
epoch:65 acc1:0.7450022977941176,acc5:0.9087775735294118,eval_loss:1.2115952661260962
epoch:66 acc1:0.7421300551470588,acc5:0.9086052389705883,eval_loss:1.2214090349152684
epoch:67 acc1:0.7410960477941175,acc5:0.9060776654411765,eval_loss:1.2155181299895048
epoch:68 acc1:0.739545036764706,acc5:0.905905330882353,eval_loss:1.204063051380217
epoch:69 acc1:0.7401194852941175,acc5:0.9057329963235294,eval_loss:1.210796047002077
epoch:70 acc1:0.7407513786764706,acc5:0.9076286764705883,eval_loss:1.225848488509655
epoch:71 acc1:0.7382238051470588,acc5:0.9041819852941176,eval_loss:1.2446495853364468
epoch:72 acc1:0.7426470588235294,acc5:0.9053883272058824,eval_loss:1.2114463048055768
epoch:73 acc1:0.7413258272058824,acc5:0.9050436580882353,eval_loss:1.2135807424783707
epoch:74 acc1:0.7425896139705883,acc5:0.9087201286764706,eval_loss:1.2031047893688083
epoch:75 acc1:0.7418428308823528,acc5:0.9046989889705883,eval_loss:1.2395792873576283
epoch:76 acc1:0.7446001838235294,acc5:0.908892463235294,eval_loss:1.2393159326165915
epoch:77 acc1:0.7450597426470589,acc5:0.9066521139705883,eval_loss:1.2393512949347496
epoch:78 acc1:0.7430491727941176,acc5:0.9084329044117648,eval_loss:1.2055585915222764
epoch:79 acc1:0.7390854779411765,acc5:0.9081456801470589,eval_loss:1.19594787620008
epoch:80 acc1:0.7409811580882354,acc5:0.9068818933823529,eval_loss:1.1962775345891714
epoch:81 acc1:0.7460937499999999,acc5:0.906192555147059,eval_loss:1.2026748424395919
epoch:82 acc1:0.7452320772058824,acc5:0.9057904411764705,eval_loss:1.212885576300323
epoch:83 acc1:0.7470703125,acc5:0.908145680147059,eval_loss:1.2177966702729464
epoch:84 acc1:0.7465533088235294,acc5:0.9091796875,eval_loss:1.2167438864707947
epoch:85 acc1:0.748736213235294,acc5:0.9069393382352943,eval_loss:1.2324726125225425
epoch:86 acc1:0.7428768382352943,acc5:0.9088924632352942,eval_loss:1.2116919690743089
epoch:87 acc1:0.7446576286764706,acc5:0.9070542279411765,eval_loss:1.2227873774245381
epoch:88 acc1:0.7483915441176471,acc5:0.9061925551470587,eval_loss:1.2125495383515954
epoch:89 acc1:0.7468979779411764,acc5:0.9075712316176471,eval_loss:1.2287925137206912
epoch:90 acc1:0.7464958639705881,acc5:0.9077435661764706,eval_loss:1.2104219552129507
epoch:91 acc1:0.7474149816176471,acc5:0.907284007352941,eval_loss:1.226903230883181
epoch:92 acc1:0.7470703125000001,acc5:0.9067095588235293,eval_loss:1.235067549161613
epoch:93 acc1:0.7486213235294117,acc5:0.9078010110294118,eval_loss:1.2318483889102936
epoch:94 acc1:0.7470703124999998,acc5:0.907571231617647,eval_loss:1.208081635646522
epoch:95 acc1:0.745749080882353,acc5:0.9070542279411765,eval_loss:1.2187121575698256
epoch:96 acc1:0.7464384191176471,acc5:0.9071116727941178,eval_loss:1.2104908851906657
epoch:97 acc1:0.7478170955882353,acc5:0.908145680147059,eval_loss:1.2312974510714412
epoch:98 acc1:0.7459214154411765,acc5:0.9064797794117647,eval_loss:1.2358296569436789
epoch:99 acc1:0.7469554227941175,acc5:0.9078010110294119,eval_loss:1.2343316776677966
epoch:100 acc1:0.7466107536764707,acc5:0.9066521139705883,eval_loss:1.2376630837097764
